name,latitude,longitude
Residency Road,12.9672379,77.5993533
Rajajinagar,12.9882338,77.554883
BTM Layout,12.9151772,77.6102821
Jayanagar,12.9292731,77.5824229
Basavanagudi,12.9417261,77.5755021
Vijayanagar,12.9709537,77.5373851
Koramangala,12.9340114,77.6222304
Brigade Road,12.9750849,77.6079337
Central Bangalore,12.97339325,77.61123426914668
Banashankari,12.9315578,77.5479272
Majestic,12.9783547,77.5728609
Seshadripuram,12.9931876,77.5753419
Lavelle Road,12.9720412,77.5985228
Rajarajeshwari Nagar,12.9274413,77.5155224
Cunningham Road,12.9871331,77.5949027
Shivajinagar,12.986391,77.6075416
Austin Town,12.9612736,77.6152935
Ashok Nagar,12.9694359,77.6092319
Basaveshwaranagar,12.9937572,77.5391325
BTM,12.911275849999999,77.60456543431182
Tavarekere,13.23142865,77.29732745335998
Railway Parallel Road,13.0028867,77.5621032
Vasanth Nagar,12.9934283,77.5902145
Malleshwaram,13.0027353,77.5703253
Mysore Road,12.3668428,76.6620074
Nagarbhavi,12.95212575,77.5113129189094
Richmond Town,12.9626925,77.6041603
Vittal Mallya Road,12.9720757,77.5941247
Sampangi Rama Nagara,12.96519265,77.59196446217507
BRIGADE ROAD,12.9750849,77.6079337
Shivaji Nagar,12.982769099999999,77.60807801074137
Commercial Street,12.9822324,77.6082947
Basaveshwara Nagar,12.99118045,77.54489175084052
Mysore road,12.3668428,76.6620074
Fort,12.962940849999999,77.57575988493524
Shantinagar,12.9524144,77.598615681177
Church Street,12.9742939,77.6525189
MAJESTIC,12.9783547,77.5728609
JP Nagar,12.9096941,77.5866067
Shanti Nagar,12.9575547,77.5979099
St. Marks Road,12.9744255,77.6015301
High Grounds,12.9865133,77.5830766
JC Road,12.965792,77.586666
Infantry Road,12.9802639,77.6042636
Chamarajpet,12.9609494,77.5613939
MG Road,12.9755264,77.6067902
Richmond Road,12.9657739,77.6038697
Kempegowda Nagar,13.0024857,77.525916
Dr Rajkumar Road,12.8854847,77.6062396
HanumanthaNagar,13.0606148,77.6692734
Magadi Road,12.975608,77.5553564
Bull Temple Road,12.9471935,77.5677901
Jayanagar 2nd Block,12.9399039,77.5826382
Jp Nagar,12.9096941,77.5866067
BTM layout,12.9151772,77.6102821
Binnipete,12.972283399999998,77.55950501935607
S G Palya,12.93132,77.6088007
Magrath Road,12.9704079,77.610292
VV Puram,12.9531831,77.5761103
Shanthinagara,12.9546703,77.59526443436619
Btm Layout,12.9151772,77.6102821
Chandra Layout,12.965293,77.5181551
Malleswaram,13.0027353,77.5703253
Wilson Garden,12.9489339,77.5968273
Vijaynagar,12.9737726,77.5360981
Btm,12.911275849999999,77.60456543431182
Chamrajpet,12.9584184,77.5629161
Sheshadripuram,12.9905183,77.5746046
Brigade Rd,12.9750849,77.6079337
Frazer Town,12.9986827,77.615525
Srinagar,12.9438817,77.5541768
City Market,12.965717999999999,77.5762705372058
Sampangirama Nagar,12.9664555,77.5922609
Jayanagar ,12.9292731,77.5824229
Rajaji Nagar,12.9945793,77.55039666654265
St Marks Road,12.9744255,77.6015301
Gandhi Bazar,12.9483481,77.5707957
Basavangudi,12.9422105,77.5741507
Race Course Road,12.9837039,77.5809217
Sampangi Rama Nagar,12.9632542,77.5920638
Kumaraswamy Layout & Uttarahalli,12.904181699999999,77.54523964714394
Shanthi Nagar,12.956202099999999,77.59900331436108
Indiranagar,12.9732913,77.6404672
Ulsoor,12.9778793,77.6246697
Adugodi,12.9428472,77.6104155
AUSTIN TOWN,12.9612736,77.6152935
Kalasipalyam,12.9618644,77.5756755
St. Marks road,12.9744255,77.6015301
Outer Ring Road,12.9210644,77.6658869
Lulu Mall,12.981188549999999,77.5631184517899
Rajajinagar 2Nd Block,12.9946609,77.5532988
Shanthinagar,12.9515296,77.6017794
Mount Joy Rd,12.9408188,77.5648954
Wilson garden,12.9489339,77.5968273
UB City,12.9718591,77.5956698
BASAVANAGUDI,12.9417261,77.5755021
Bannerghatta Main Road,12.7288213,77.6769298
M G Road,12.9759377,77.6044343
Jaya Nagar,12.9074812,77.5731495
M.c.layout,12.9730957,77.5353937
Jalahalli-Peenya,13.0440118,77.5320532
Gandhi Nagar,12.9541555,77.7069486
Shanthi nagar,12.956202099999999,77.59900331436108
Sadashiva Nagar,13.0110193,77.5808641
MALLESHWARAM,13.0027353,77.5703253
Hosur,12.9116225,77.6388622
Azad Nagar,12.9543158,77.55375374278954
Jayanagar 9th Block East,12.9171428,77.5969184
Church Street ,12.9742939,77.6525189
